id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
2rf9en2Ag0xnOrBK9J3Aaj,End,['Bride'],256120,1997,False,,0.35200000000000004,0.8220000000000001,0.00426,0.39899999999999997,165.854
5Cv3eERYTxg3T5EziJby8X,Best Expect to Do,['Bride'],202893,2003,False,,0.337,0.853,0.00103,0.613,174.796
15bcqoHan070n0F55DBP3s,Evil Geniuses,['Bride'],278387,2003,False,,0.306,0.9309999999999999,0.00109,0.547,192.019
24zq9v6fokxqZ9RE8BP0k8,El Pilon/Alla,['Zorras'],207893,2010,False,,0.523,0.12,0.9259999999999999,0.243,52.59
5mIgdBMxP5GbifSYWYb9Kh,Two Girls (One for Heaven and the Other One for Rome),['Frog Eyes'],181400,2015,False,,0.42100000000000004,0.505,0.326,0.585,136.872
5meuFLH0RQWgRMmibLYTHy,Joe with the Jam,['Frog Eyes'],277333,2015,False,,0.48200000000000004,0.488,0.10099999999999999,0.281,114.205
1iEUVgW61Okfhqul9tiS0r,The Beat Is Down (Four Wretched Singers Beyond Any World That You Have Known),['Frog Eyes'],197053,2015,False,,0.5770000000000001,0.502,0.249,0.5760000000000001,100.406
2U6OTphPd0rXiMyKGEVFBn,Death's Ship,['Frog Eyes'],210027,2015,False,,0.44799999999999995,0.555,0.273,0.66,146.184
1oJPoLhqaLJxya0rtgTtNk,The Demon Runner,['Frog Eyes'],253107,2015,False,,0.5670000000000001,0.44299999999999995,0.5539999999999999,0.413,113.339
2mQd4bqggTRAU4mNRkvWjZ,Rejoinders in a Storm,['Frog Eyes'],245267,2015,False,,0.491,0.542,0.268,0.402,137.594
6E1Cfd8YpVjfxEtX7KZxos,In a Hut,['Frog Eyes'],174480,2015,False,,0.515,0.439,0.741,0.633,120.056
0HWY0HdJVgX00RhCwZ3gdq,Crystal Blip,['Frog Eyes'],261813,2015,False,,0.42100000000000004,0.55,0.405,0.47700000000000004,121.01899999999999
6DMNfK4CqgDzqWdaKIw7xY,I Ain't Around Much,['Frog Eyes'],253653,2015,False,,0.46799999999999997,0.391,0.485,0.284,79.465
3nDOVx1ZpQq1whCMKXZCVq,Rip Down the Fences That Fence the Garden,['Frog Eyes'],319067,2015,False,,0.376,0.48100000000000004,0.209,0.353,151.091
2AeTPlWgMPxTbAP1aL6Cgq,"2 Romanian Rhapsodies, Op. 11: No. 1 in A Major","['George Enescu', 'Minnesota Orchestra', 'Eiji Oue']",778293,2015,False,,0.17300000000000001,0.11199999999999999,0.597,0.0467,80.439
3sOBA5kK4pSvWfefKi0uW9,3 Gymnopedies: No. 1. Lent et douloureux (orch. Debussy),"['Erik Satie', 'Claude Debussy', 'Minnesota Orchestra', 'Eiji Oue']",218853,2015,False,,0.166,0.0177,0.9159999999999999,0.0839,70.984
35TC2YSTplyQJoCaJMBzFe,Lash the Nineties,['Alec Empire'],633533,2000,False,,0.248,0.993,0.142,0.0371,112.60799999999999
